,m_size,threads,time,time1,time2,time3,speedup
3,10000,1,2105.3333333333335,2126,2095,2095,1.0
7,10000,2,1079.0,1077,1080,1080,1.95118937287612
11,10000,3,724.6666666666666,728,723,723,2.9052437902483903
15,10000,4,553.0,561,549,549,3.807112718505124
19,10000,5,451.0,447,453,453,4.668144863266815
23,10000,6,372.6666666666667,372,373,373,5.649373881932021
27,10000,7,324.6666666666667,322,326,326,6.484599589322382
31,10000,8,283.6666666666667,281,285,285,7.4218566392479435
35,10000,9,266.3333333333333,255,272,272,7.904881101376722
39,10000,10,233.66666666666666,245,228,228,9.009985734664765
43,10000,11,209.33333333333334,204,212,212,10.057324840764332
47,10000,12,191.33333333333334,188,193,193,11.003484320557492
